#URL https://www.youtube.com/channel/UCzOVWK0r7Jpz2NFZ1tKiZZA/shorts
3j1klA-ZslI|NA|NA|S3E03 Što kada sebe uporno uvjeravamo da će biti bolje|PSIHOLOGiJA | HRT - Shorts|NA
lEWD4ZBt2hU|NA|NA|S3E03 Kad se prijatelji ne pokažu kao prijatelji u teškim trenucima|PSIHOLOGiJA | HRT - Shorts|NA
lVyh6tbV-J8|NA|NA|S3E03 Kako je počela Antonelina borba s mentalnim zdravljem|PSIHOLOGiJA | HRT - Shorts|NA
sesy1Y-s9bo|NA|NA|S3E02 Uspoređivanje s drugima i pritisak uklapanja|PSIHOLOGiJA | HRT - Shorts|NA
F32_zkZ5LFo|NA|NA|S3E02 O nošenju s negativnim ljudima i negativnim komentarima|PSIHOLOGiJA | HRT - Shorts|NA
09kmS60Y42I|NA|NA|S3E02 Snaga vlastitog samopouzdanja|PSIHOLOGiJA | HRT - Shorts|NA
5XwooPRVKfE|NA|NA|S3E02 O uspjehu predstave MARE #zenamajkaglumica|PSIHOLOGiJA | HRT - Shorts|NA
xQHWyzrot1c|NA|NA|S3E02 Rušenje stereotipa o ženama|PSIHOLOGiJA | HRT - Shorts|NA
gvoY2fEVY70|NA|NA|S02E33 Zašto bi se morala grliti|PSIHOLOGiJA | HRT - Shorts|NA
OTiHWYtg8ao|NA|NA|S3E02 Izazovi i povratak glumačkoj karijeri|PSIHOLOGiJA | HRT - Shorts|NA
DpZMCkGsKv0|NA|NA|S3E02 Frustracija i nepovjerenje u sustav podrške djeci s posebnim potrebama|PSIHOLOGiJA | HRT - Shorts|NA
7sllRll-d9M|NA|NA|S3E01 Kako pomoći nekome tko nije svjestan da je žrtva gaslightinga?|PSIHOLOGiJA | HRT - Shorts|NA
UlqLyEXqQG4|NA|NA|S3E01 Za gaslighting je potrebno dvoje|PSIHOLOGiJA | HRT - Shorts|NA
y-YuZuJdxIU|NA|NA|S3E01 Roditeljsko gaslightanje – je li uvijek nesvjesno?|PSIHOLOGiJA | HRT - Shorts|NA
RGQQ7vbQ9fA|NA|NA|S3E01 Zašto neke žrtve brane svog manipulatora?|PSIHOLOGiJA | HRT - Shorts|NA
YXwtkoWvdrQ|NA|NA|S3E01 Gaslighting može utjecati i na pamćenje|PSIHOLOGiJA | HRT - Shorts|NA
B1FohI_QZ6s|NA|NA|S301 O mehanizmima obrane i zašto žrtva brani zlostavljača|PSIHOLOGiJA | HRT - Shorts|NA
fG9ybSmj__0|NA|NA|S3E01 Što je gaslighting?|PSIHOLOGiJA | HRT - Shorts|NA
vFrt8V2aO2Q|NA|NA|S02E27 Video dnevnik Barbare Udovičić|PSIHOLOGiJA | HRT - Shorts|NA
lD21nvzFT9U|NA|NA|S02E24 Liječnički pristup dijagnozi i borba za majčinstvo|PSIHOLOGiJA | HRT - Shorts|NA
_MUZH0OAcdM|NA|NA|S02E27 Razgovor sa sobom i traženje pomoći|PSIHOLOGiJA | HRT - Shorts|NA
RYk_AmfRXMI|NA|NA|S02E23 Apetit u anoreksiji|PSIHOLOGiJA | HRT - Shorts|NA
unZvgpYzv5w|NA|NA|S02E24 Podrška supruga i upoznavanje s pravima pacijenata|PSIHOLOGiJA | HRT - Shorts|NA
AvXkMIJeLmg|NA|NA|S02E31 Benefiti života s ADHD- om|PSIHOLOGiJA | HRT - Shorts|NA
M0DFFZbxhWI|NA|NA|S02E27 Solomonov paradoks|PSIHOLOGiJA | HRT - Shorts|NA
nfOx-CYzCm4|NA|NA|S02E27 Strah od sreće i put čeličenja|PSIHOLOGiJA | HRT - Shorts|NA
wyfLCc_bs6Y|NA|NA|S02E27 Što su granice i kada ih postaviti|PSIHOLOGiJA | HRT - Shorts|NA
UsrNWcf9qko|NA|NA|S02E27 Biti s pogrešnom osobom je next level samoće|PSIHOLOGiJA | HRT - Shorts|NA
ENKuBrMymOE|NA|NA|S2E30 Program BOJE i manjinski stres|PSIHOLOGiJA | HRT - Shorts|NA
Ghst4pNHvC0|NA|NA|S2E30 O nezbrinutoj djeci|PSIHOLOGiJA | HRT - Shorts|NA
