#URL https://www.youtube.com/playlist?list=PLta2gH1s4UVTHEtB5KyebNXmzxocbEiZ2
EXDUesAkhf4|1423|20200925|LinkedIn: Ugasiti ga ili iskoristiti za više od povremenog životopisa?  | #NETOKRACIJAPODC|Netokracija Hrvatska|Netokracija
JT25uJwEVvw|2059|20200925|Agency Life: Uvodimo četverodnevni radni tjedan u marketinšku industriju! | #NETOKRACIJAPO|Netokracija Hrvatska|Netokracija
Zp362mMvlIo|1747|20200925|Kako izgleda život u doba Koronavirusa (u tehnološki naprednom Singapuru) | #NETOKRACIJAPO|Netokracija Hrvatska|Netokracija
syNNYbZOPaA|2386|20200925|Employer Branding sadržaj: Kako predstaviti tvrtku kao poželjnog poslodavca? | #NETOKRACIJ|Netokracija Hrvatska|Netokracija
xMCtYTAxGlU|1701|20200925|Slack, Microsoft Teams ili Googleov novi chat alat dok #ostajemdoma?! | #NETOKRACIJAPODCAS|Netokracija Hrvatska|Netokracija
UPcPDvPPjOc|1993|20200925|Ivan Kovačević: Kako raditi marketing u tehnološkoj tvrtki u Hrvatskoj? | #NETOKRACIJAPODC|Netokracija Hrvatska|Netokracija
CCLU0qkGs9w|2106|20200925|Selidba u Zagreb: Zašto su se naši digitalci morali preseliti unatoč 'remoteu' | #NETOKRAC|Netokracija Hrvatska|Netokracija
1nNffWJ-_zo|1201|20200925|WhatsApp kao komunikacijski kanal za online biznis u krizi?! (uz Sendbee) | #NETOKRACIJAPO|Netokracija Hrvatska|Netokracija
1hP5FFvYU-A|2746|20200925|#Ostanidoma normalan: Savjeti za preživljavanje 4., 5. ili 6. tjedna kod kuće! | #NETOKRAC|Netokracija Hrvatska|Netokracija
ZFyYPUMaIJU|2212|20200925|Lemax, Rentlio i Orioly o krizi turizma u Hrvatskoj (i kako je preživjeti) | #NETOKRACIJAP|Netokracija Hrvatska|Netokracija
zudHEp4WUjE|2116|20200925|Influencer marketing u Hrvatskoj: Hoće li preživjeti krizu?! | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
TWttxSXm2Hk|2691|20200925|Digitalni marketing: Kako mu strateški pristupiti ususret krizi  | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
Hs2-hUfHBVA|1364|20200925|TikTok: Domaći TikTokeri s milijunima pregleda otkrivaju detalje! | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
AMhtPhjs4LY|2730|20200925|Uređenje ureda: Kako će izgledati naši uredi nakon korone? ft. Damjan Geber | #NETOKRACIJA|Netokracija Hrvatska|Netokracija
_hfa92qCdSA|2273|20200925|Startupi i investicije u doba krize (i kako pokrenuti startup) ft. Luka Sučić | #NETOKRACI|Netokracija Hrvatska|Netokracija
aiwg02b1tEE|2583|20200925|Kako koristiti email učinkovitije - i postići inbox zero! | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
GYWVAIuyH4Q|2860|20200925|Startup: Hrvatska praksa i teorija o brzorastućim 'tech' tvrtkama | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
eSwaFSLtMLM|2140|20200925|Combis i HT grupa službeno prelaze na hibridni rad od doma: Što, kako, zašto?! | #NETOKRAC|Netokracija Hrvatska|Netokracija
IfiXqZjlbCM|2469|20200925|LinkedIn marketing: Kako stvoriti popularan LinkedIn profil | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
6b3_Dqyak7k|3189|20200925|Budućnost 'remote' rada za hrvatske digitalne profesionalce (i naša iskustva) | #NETOKRACI|Netokracija Hrvatska|Netokracija
g9t8VO02OTQ|2648|20200925|Deepfake: Mogu li nam ukrasti lice pa novac i staviti nas u pornić?! | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
SZ7dxfRPTO8|3186|20200925|STUDIRANJE ZA PROGRAMERA u Hrvatskoj (gost Hrvoje Balen, Algebra) | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
6OJwZKPIJus|2941|20200925|EMAIL MARKETING SAVJETI za kvalitetan newsletter (gost Bruno Zagorščak) | #NETOKRACIJAPODC|Netokracija Hrvatska|Netokracija
AMU-K5Fz0Io|2925|20200925|PRAVI HAKER otkriva kako su 'hakirali' Twitter profile Elona Muska i Applea | #NETOKRACIJA|Netokracija Hrvatska|Netokracija
8ivRJzEUcNo|2271|20200925|Kako dati OTKAZ? Savjeti za radnike i poslodavce! | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
OgSLGIWQDk0|2542|20200925|INSTAGRAM PRODAJA: Savjeti za kreatore, trenere i poduzetnike | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
NfltBYmNRSc|2495|20200925|Kraj ogromnim APPLE/GOOGLE 'POREZIMA' na aplikacije?! Zahvaljujući #Fortnite?! | #NETOKRAC|Netokracija Hrvatska|Netokracija
wK7R7g92Loc|2214|20200925|Vodič kroz YOUTUBE ZA ODRASLE: #TryGuys, #GMM, #CorridorCrew | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
fhrEw5R5gPo|2369|20200925|INFLUENCER MARKETING VODIČ: Nemojte žicati, već se uspješno prodajte! | #NETOKRACIJAPODCAS|Netokracija Hrvatska|Netokracija
