#URL https://www.youtube.com/channel/UCZFY00ou7XkPqFIfsY9_f6Q/videos
iuQQzla0usA|1148|20260924|HAKL PO ISTRI | PJEŠČANA UVALA 🎙️|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
1Ysxx8CV-_Q|3252|20260917|Zašto ne napasti Europu? Advan Kadušić | Zeleno-Žuti Korner #S02-E01|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
o3_fGS5BBvk|1016|20260904|⚽️🎙️ HAKL PO ISTRI #3 – SAVIČENTA|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
6ew7tXyyfr4|801|20260825|⚽️💚💛 HAKL PO ISTRI #2 – ŠIJANA|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
5XM8SMo-_wU|1369|20260825|🎙️ HAKL PO ISTRI – ROVINJ ⚽️💚💛|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
_tJyWHs2Ba0|4907|20260625|Finale prve sezone - Hrvoje Levak & Endi Špada | Zeleno-Žuti Korner #14|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
kr_hEFEXwO8|4510|20260525|Priča igrača koji je ostao kad je Istri bilo najteže - Nikola Prelčec | Zeleno-Žuti Korner|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
DMM3zfmKAxc|3622|20260525|Što se dogodilo s Istrom i gdje je nestao iskorak? - Dameo Ramić-Kovačić | Zeleno-Žuti Kor|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
5l3HTuGZ9qk|3311|20260425|Prisjećamo se zeleno-žutih dana - Dalibor Pauletić | Zeleno-Žuti Korner #11|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
7H-jmnBbFx8|3903|20260425|Povijesne HNL priče prve Istre - Mauro Piutti | Zeleno-Žuti Korner #10|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
zR4l0n7N4NY|3421|20260325|Golmanska priča od Istre do Rijeke - Andrej Prskalo | Zeleno-Žuti Korner #9|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
1gewnSJAn6A|6352|20260325|Povijest nogometa u Puli - Anton Percan | Zeleno-Žuti Korner #8|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
c1H-JpgjWXA|4098|20260225|Revanš, kamp i put natrag do pojasa - Ivan Vitasović | Zeleno-Žuti Korner #7|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
oOn81OrPsNI|210|20260225|Robert Matteoni | Lawalov iskorak i zašto je eksplodirao ove sezone|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
t7puPseo2nY|315|20260225|Robert Matteoni | Strpljenje i vrijeme odlučuju sve|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
u8YhO5Cqxfw|3936|20260225|Od Napolija do Pule - Josip Radošević | Zeleno-Žuti Korner #6|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
XBSUoZaDymM|138|20260225|Robert Matteoni | Prekid u Rijeci, Mišković i medijska prenapuhanost|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
n4E8BijymXI|88|20260225|Robert Matteoni | Realnost HNL-a, odlasci igrača i granice Istrinog budžeta|Zeleno-Žuti Korner | Udruga navijača NK Istra 1961 - Videos|NA
