#URL https://www.youtube.com/channel/UCzOVWK0r7Jpz2NFZ1tKiZZA/videos
-kpJ8N2Umuw|3777|20260911|S03E01 PSIHOLOGiJA #82- Što je gaslighting? (prof. dr. Milena Skočić Hanžek)|PSIHOLOGiJA | HRT - Videos|NA
so94jGrPfM4|291|20260325|Linije za psihološku pomoć u Republici Hrvatskoj|PSIHOLOGiJA | HRT - Videos|NA
23VH8C8z95M|2507|20251225|S02E15 PSIHOLOGiJA #55 - Život roditelja djeteta s autizmom (Dalibor Talajić)|PSIHOLOGiJA | HRT - Videos|NA
-0aPDEzRTWU|3774|20250925|S02E01 PSIHOLOGiJA #41- Mozak i osjećaji (Akademkinja Vida Demarin)|PSIHOLOGiJA | HRT - Videos|NA
t7sWzeqrUAk|4128|20250925|S01E34 PSIHOLOGiJA #34- Poremećaji u prehrani (dr. Hrvoje Handl i Elena Soldo)|PSIHOLOGiJA | HRT - Videos|NA
rOh40vu_vXc|3406|20250925|S01E33 PSIHOLOGIJA #33- Id, ego i superego (Dražen Radaković)|PSIHOLOGiJA | HRT - Videos|NA
KqEE3pgy3Jo|29|20250925|PSIHOLOGiJA|PSIHOLOGiJA | HRT - Videos|NA
HSHsLC37JPk|4501|20250925|S01E13 PSIHOLOGiJA #13- Prekinite toksična prijateljstva (Marina Trbus)|PSIHOLOGiJA | HRT - Videos|NA
FkuAod1uHV0|3840|20250925|S01E07 PSIHOLOGiJA #7- Kako živjeti mirnije, sretnije i pametnije (Ivana Plechinger)|PSIHOLOGiJA | HRT - Videos|NA
5RTU3xVwhjY|3835|20250925|S01E06 PSIHOLOGiJA #6- Psihologija novca (prof.dr. Zvonimir Galić)|PSIHOLOGiJA | HRT - Videos|NA
