Projekt SNOVI;;UCd8L4hpON6SV_9cOngEETMA;;https://www.youtube.com/channel/UCd8L4hpON6SV_9cOngEETMA;;1467;;Hrvatski iseljenici u drugoj polovici 20. stoljeća | Ivan Hrstić | Podcast proje;;diaspora
Projekt SNOVI;;UCd8L4hpON6SV_9cOngEETMA;;https://www.youtube.com/channel/UCd8L4hpON6SV_9cOngEETMA;;1725;;Hrvatski iseljenici u prvoj polovici 20. stoljeća | Ivan Hrstić | Podcast projek;;diaspora
Večernji TV;;UCPFfi389DTy-cI9BzM7bLTQ;;https://www.youtube.com/channel/UCPFfi389DTy-cI9BzM7bLTQ;;2563;;Raspudić otvoreno o Hrvatima izvan Hrvatske: „Hrvati u BiH nisu dijaspora“;;diaspora
Projekt Velebit;;UC2yHIvdfB8iKorhc3eRBjHw;;https://www.youtube.com/channel/UC2yHIvdfB8iKorhc3eRBjHw;;1195;;PODCAST VELEBIT - Sunic&Glasnovic: Croatian Diaspora; Return or Extinction?;;diaspora
University of Mostar Television / SUM TV;;UCBIJsHAH1FjJnruAx_oDsdw;;https://www.youtube.com/channel/UCBIJsHAH1FjJnruAx_oDsdw;;4459;;SUM TV | 5. Hrvatski iseljenički kongres | ISELJENICI – PROTAGONISTI VREMENA;;diaspora
CORAL Consulting Service;;UCe1GM-EsZBEZGvQWrpaxnaA;;https://www.youtube.com/channel/UCe1GM-EsZBEZGvQWrpaxnaA;;330;;HRVATSKA DIJASPORA - POVRATAK;;diaspora
ASHA Global Voices;;UCbNKyz3LUCKT6Ox3EyvLlSQ;;https://www.youtube.com/channel/UCbNKyz3LUCKT6Ox3EyvLlSQ;;2336;;Exploring Croatia - ASHA Global Voices Podcast #11;;diaspora
Mladi za Domovinu;;UCAcCn67b3O7b1JSISdQNbwA;;https://www.youtube.com/channel/UCAcCn67b3O7b1JSISdQNbwA;;402;;Evo KAKO vratiti ISELJENIKE u Hrvatsku! - Stjepan Šterc;;diaspora
Bijela kronika;;UCT83lJC9IZiTsf__pXAs0QA;;https://www.youtube.com/channel/UCT83lJC9IZiTsf__pXAs0QA;;1624;;Bijela kronika (19): Tuga Tarle -  Je li povratak Hrvata iz dijaspore mit?;;diaspora
BEZ DLAKE NA GLAVI;;UCAfpzMev1SiUl-Jr569upow;;https://www.youtube.com/channel/UCAfpzMev1SiUl-Jr569upow;;6205;;BEZ DLAKE NA GLAVI - #11 - "Zbog djeteta sam otišao van, zbog djeteta se vraćam ;;diaspora
Podcast Turizam24 ;;UC3aUDgP7MwQuHxedh7cNwSA;;https://www.youtube.com/channel/UC3aUDgP7MwQuHxedh7cNwSA;;350;;U Hrvatskoj ne živi niti 3,8 milijuna stanovnika. #10 Podcast - gost: Tado Jurić;;diaspora
Grizli Office Podcast;;UCT9KQhOBMChwHZVLMZNpNEA;;https://www.youtube.com/channel/UCT9KQhOBMChwHZVLMZNpNEA;;3909;;Grizli Office Podcast #33 - Tado Jurić, demograf;;diaspora
All Things Croatia;;UC-7HdElVt1nIR-dUsWtqlbg;;https://www.youtube.com/channel/UC-7HdElVt1nIR-dUsWtqlbg;;2067;;The Story of Expat in Croatia's Sara Dyson;;diaspora
Al Jazeera Balkans;;UC_yXEx3-Gk5drg9qhPzSQSg;;https://www.youtube.com/channel/UC_yXEx3-Gk5drg9qhPzSQSg;;235;;Iseljenici o Vladinim mjerama: Uzroci odlaska iz Hrvatske nisu uklonjeni;;diaspora
Foreign Familiar;;UCmZTkIzIygXvVICpjiQaIaA;;https://www.youtube.com/channel/UCmZTkIzIygXvVICpjiQaIaA;;585;;Introduction (Episode 1);;diaspora
Podcast Inkubator;;UCv3Ob6T4cg4Okj0iGTdeIbg;;https://www.youtube.com/channel/UCv3Ob6T4cg4Okj0iGTdeIbg;;8623;;Podcast Inkubator #1151 - Ratko i Niko Tokić Kartelo;;diaspora
Podcast Inkubator;;UCv3Ob6T4cg4Okj0iGTdeIbg;;https://www.youtube.com/channel/UCv3Ob6T4cg4Okj0iGTdeIbg;;2014;;Podcast Inkubator #155 Q&A 13 - Dejan Nemčić;;diaspora
Worlds Collide - The Podcast about moving abroad;;UCky9n1T_Hz2uzQSa5NP5SoQ;;https://www.youtube.com/channel/UCky9n1T_Hz2uzQSa5NP5SoQ;;3190;;Moving to Croatia - Sara from Expats in Croatia;;diaspora
All Things Croatia;;UC-7HdElVt1nIR-dUsWtqlbg;;https://www.youtube.com/channel/UC-7HdElVt1nIR-dUsWtqlbg;;2297;;Interview with Peter Pecotić - Countryman;;diaspora
Hrvatski povijesni portal;;UCKH4m-8kH0-8YvW25kXs4oA;;https://www.youtube.com/channel/UCKH4m-8kH0-8YvW25kXs4oA;;42;;Demografska slika Hrvatske krajem 2017. godine;;diaspora
Tado Juric - Migracije i demografija;;UCyXYNcDk0ACMHvcf0_voCqQ;;https://www.youtube.com/channel/UCyXYNcDk0ACMHvcf0_voCqQ;;862;;Mitovi o iseljavanju, Tado Jurić, Sabor RH;;diaspora
Split Tech City;;UC8lka4Cf-OTBvs7B53C3WpQ;;https://www.youtube.com/channel/UC8lka4Cf-OTBvs7B53C3WpQ;;1387;;Locals’n’Nomads Meetup: Discussing Croatia’s Digital Nomad Permit With Expat in ;;diaspora
Podcast Inkubator;;UCv3Ob6T4cg4Okj0iGTdeIbg;;https://www.youtube.com/channel/UCv3Ob6T4cg4Okj0iGTdeIbg;;7106;;Podcast Inkubator #155 - Aida i Dejan Nemčić;;diaspora
Oslobođenje;;UCmAoNqGvyPtP9hOAypvFzrg;;https://www.youtube.com/channel/UCmAoNqGvyPtP9hOAypvFzrg;;114;;Radnici iz Hrvatske odlaze u Njemačku, Hrvatska uvozi radnu snagu iz BiH;;diaspora
Brooke Abroad;;UCjHtEqxwr-AVqedGGrS5Bfw;;https://www.youtube.com/channel/UCjHtEqxwr-AVqedGGrS5Bfw;;1640;;How We Moved from Australia to Croatia as Diaspora | Visas, Residency Permits an;;diaspora
Tado Juric - Migracije i demografija;;UCyXYNcDk0ACMHvcf0_voCqQ;;https://www.youtube.com/channel/UCyXYNcDk0ACMHvcf0_voCqQ;;5933;;Jurić: Politička korupcija je najčešći razlog zašto mladi Hrvati odlaze iz Hrvat;;diaspora
