10626;;20260922;;AJo9Q0CqEis;;HOĆE LI NAS DOISTA "UMJETNA INTELIGENCIJA" UNIŠTITI? | BDNG UŽIVO #204
10836;;20260915;;_5iIShGzC8g;;KOLIKO JE ALTERNATIVA ZA NJEMAČKU - ALTERNATIVA? 25 GODINA OD 11. RUJNA | BDNG UŽIVO #203
9896;;20260904;;rUgFIve305w;;PROSVJED ZA LIKU, ULOGA POLITIKE - I OSTALE AKTUALNOSTI | BDNG UŽIVO #202
10961;;20260825;;02qWpVf8d_Y;;JESMO LI POSTALI SMETLIŠTE EUROPSKE UNIJE? | BDNG UŽIVO #201
11775;;20260825;;hZOjCPaoAIY;;JUBILARNI SPECIJAL: RAVNA ILI KUGLA? PITANJE KOJE IMA NAJMANJE VEZE S OBLIKOM | BDNG UŽIVO
11510;;20260825;;sJcRSmVfm-Q;;DR. ANTHONY FAUCI - SAMO PREDSTAVA ILI NEŠTO VIŠE? | BDNG UŽIVO #199
10130;;20260825;;8aD26V0Z-UY;;ŠTO IMA NOVOGA U KORPORACIJI - I DRUGDJE? | BDNG UŽIVO #198
9826;;20260725;;_tSuax6nRO4;;'VAR' DRUŠTVA - PUTOKAZ ZA BUDUĆNOST | BDNG UŽIVO #197
10891;;20260725;;claRDNHbW34;;UŽIVO | TARTARIJA #8 - BUDUĆNOST IZ PROŠLOSTI - ETER I ENERGIJA
7845;;20260625;;ggvhYc63P10;;KRAJ RATA, POČETAK MIRA ILI NASTAVAK FARSE? BONUS: UFC "FREEDOM" NOĆ | BDNG UŽIVO #196
10460;;20260625;;nlywpxtzQcw;;IDIOKRACIJA JE BLAGA RIJEČ ZA OVO | BDNG UŽIVO #195
10905;;20260625;;HfExMZ8IMqs;;ŽIVOT U DOBA DEBI(z)LA | BDNG UŽIVO #194
11660;;20260525;;PHx0JMAA7x4;;MAGA ili MIGA? ŠTO SE DOGAĐA S AMERIKOM? | BDNG UŽIVO #193
8881;;20260525;;NZe6BfxwbCw;;DRNIŠKA TRAGEDIJA - TKO JE ODGOVORAN?; NOVA ESKALACIJA NA ISTOČNOM BOJIŠTU | BDNG UŽIVO #1
13756;;20260525;;bEe9LHHwfdA;;SVI PUTEVI VODE U KINU... | BDNG UŽIVO #191
13721;;20260525;;6VQFELB11Mw;;REVOLUCIJA JE TU | BDNG UŽIVO #190
5340;;20260525;;Vbufa0HCkIw;;PUCNJAVA NA VEČERI BIJELE KUĆE - ŠTO STOJI IZA NOVOG "ATENTATA"? | BDNG UŽIVO #189
11453;;20260425;;dT4YUW3eAV8;;ZAŠTO HEGSETH CITIRA TARANTINA KAO BIBLIJU? | BDNG UŽIVO #188
11890;;20260425;;ic0GFum-2yg;;ŠTO NAM DONOSI BLOKADA BLOKADE U HORMUŠKOM? | BDNG UŽIVO #187
12586;;20260425;;WdXPX5UPWXs;;"OSVAJAMO MJESEC", ALI GUBIMO ZEMLJU? | BDNG UŽIVO #186
11461;;20260425;;6fp2YBu9Nvc;;ŠTO JE BLIŽI KRAJ JEDNOG CARSTVA, STVARI POSTAJU SVE LUĐE | BDNG UŽIVO #185
11826;;20260425;;LHK5Nx_q9Jw;;AKTUALAC - NOVA ETAPA ISTE PRIČE - MJESEC DANA NOVOG RATA | BDNG UŽIVO #184
10621;;20260325;;eMvYWyjmSpw;;KREATORI KAOSA - POSLJEDICE RATA NA BLISKOM ISTOKU| BDNG UŽIVO #183
11976;;20260325;;gt59SAfhQ6E;;U SJENI (AI) RATA? | BDNG UŽIVO #182
9691;;20260325;;EbSfsqfWbYw;;TREĆI HRAM - RAT NAJAVLJEN U PISMU ALBERTA PIKEA IZ 1871. | BDNG UŽIVO #181
12281;;20260325;;QecfvJamUpE;;SPECIJAL - IRAN: BLISKI ISTOK U PLAMENU | BDNG UŽIVO #180
7360;;20260325;;0vOikJ0dUtY;;SPECIJAL - RAT U IRANU - OPERACIJA 'EPSKI BIJES' | BDNG UŽIVO #179
11430;;20260325;;R9Rgr9MqFJQ;;IRAN - NOVA, ALI STARA PRIČA S BLISKOG ISTOKA | BDNG UŽIVO #178
12341;;20260225;;IXjLbSX5N1E;;AKTUALAC - OD PRINCA do IRANA, MAGA-e i FUENTESA | BDNG UŽIVO #177
10896;;20260225;;DU1kGYty48I;;PRIČA JE DUBOKA | BDNG UŽIVO #176
11075;;20260225;;RQYNm7E10fQ;;JEFFREY - ŠTO JE SVE IZAŠLO I ZAŠTO SADA? | BDNG UŽIVO #175
5396;;20260225;;apQELZ6Am-0;;SPECIJAL: DOČEK RUKOMETAŠA - POLITIKA I(LI) SPORT(?) | BDNG UŽIVO #174
9413;;20260125;;Fv5U8fvKdB4;;SPECIJAL - KOMENTIRAMO WEF 2026 | BDNG UŽIVO #173
12256;;20260125;;A2-gVjS2UX4;;SPECIJAL - PRATIMO UŽIVO TRUMPOV GOVOR U DAVOSU | BDNG UŽIVO #172
11338;;20260125;;el4QWKd6s6I;;ŠTO SE DOGAĐA U IRANU? | BDNG UŽIVO #171
11630;;20260125;;OupqaYIx5ZI;;Specijal - TRUMPOV GOVOR NAKON SVRGAVANJA MADURA I NOVE PRIJETNJE | BDNG UŽIVO #170
5356;;20260125;;0sgViLYEn7M;;TRUMP NAPAO VENEZUELU, MADURO PRIVEDEN. ŠTO SLIJEDI? | BDNG UŽIVO #169
12415;;20260125;;FQHQ8OEXXME;;AKTUALAC - GODINA NA IZMAKU, ŠTO NAM DONOSI 2026.? | BDNG UŽIVO #168
14460;;20251225;;L8V2ADwN20U;;AKTUALAC - MOGUĆE ZADNJI ZA 2025. | BDNG UŽIVO #167
12981;;20251225;;0y7EZGv7m8o;;AKTUALAC - STANJE U SAD-u IZ PERSPEKTIVE MAGA POKRETA, NICKA FUENTESA | BDNG UŽIVO #166
6465;;20251225;;1UE495RyqW4;;SLUČAJ ČASNA - "DEZINFORMACIJE" | BDNG UŽIVO #165
12736;;20251225;;Gr-9tJWi8ME;;AKTUALAC - O PROSVJEDU, RATOVIMA, DIGITALNOJ DISTOPIJI | BDNG UŽIVO #164
13386;;20251125;;t2lPZA-zjZs;;AKTUALAC - POŽAR & OSTALO | BDNG UŽIVO #163
10185;;20251125;;KQGC-5XbM54;;AKTUALAC | BDNG UŽIVO #162
11500;;20251125;;X2F0Og09n6w;;"IZ KAOSA U RED" | BDNG UŽIVO #161
13066;;20251125;;_CuaQyHeuJU;;AKTUALAC - (NOVI) DRON SHOW U HRVATSKOJ | BDNG UŽIVO #160
9606;;20251025;;LdgFzz9NRSc;;AKTUALAC - "KAKO JE, DOBRO JE..." | BDNG UŽIVO #159
12555;;20251025;;ghL9CwCLs0c;;AKTUALAC - FAZA DEMOLIRANJA JE GOTOVA, ŠTO SLIJEDI? | BDNG UŽIVO #158
13621;;20251025;;ZVPm1h1Id50;;AKTUALAC | BDNG UŽIVO #157
12319;;20251025;;jf_kbCOxGvg;;AKTUALAC - POTVRDA SLUGANSTVA | BDNG UŽIVO #156
13410;;20251025;;_EMv4nSZWRE;;AKTUALAC | BDNG UŽIVO #155
12480;;20250925;;5GWEZeciuuY;;AKTUALAC | BDNG UŽIVO #154
5916;;20250925;;PUl-9X-bDz8;;KOMENTIRAMO GOVOR O "STANJU UNIJE" | BDNG UŽIVO #153
11291;;20250925;;Wo1h6HovBYU;;ŠTO DONOSI "NOVI SVJETSKI POREDAK"? | BDNG UŽIVO #152
10105;;20250925;;1EE4PfkSKgc;;PREDJESENSKI KOKTEL | BDNG UŽIVO #151
11051;;20250925;;_iIbqhAJX0I;;POVIJESNI SASTANAK U WASHINGTONU | BDNG UŽIVO #150
17232;;20250925;;YxoZ4VrGbYQ;;SASTANAK TRUMP-PUTIN | BDNG UŽIVO #149
10920;;20250925;;1WBr7DFj7Sg;;TRUMP: "MEDVEDEV JE REKAO ZLOČESTE STVARI, ŠALJEM NUKLEARNE PODMORNICE!" | BDNG UŽIVO #148
10231;;20250925;;mBolgbQPY5w;;HOĆE LI DIDDY NA SLOBODU? | BDNG UŽIVO #147
4141;;20250925;;qozt8zVSYss;;DVA LICA HRVATSKE - USUSRET VOJNOM MIMOHODU; ŠTO DANAS PREDSTAVLJA DOMOLJUBLJE? | BDNG UŽI
