PLhkSvqgTDQDCvA1LURxYrOztbO4pknAy8;;RAZOTKRIVANJE VAR AFERE
PLhkSvqgTDQDB-O_bbDwHL9BZGuM29SwFE;;NAMA NEPRIJATELJI NE TREBAJU
PLhkSvqgTDQDDnjtHc1sLphoWNNYz5NxH3;;IZVANREDNI NASTUP PODCASTERA
PLhkSvqgTDQDDqK-z5-5QlEu1A_xxoLuWL;;VIJESTI IZ PARALELNIH SVEMIRA
--STREAMS
16608;;NAVIJAČKI ANALIZIRAMO JADRANSKI DERBI: RIJEKA - HAJDUK 
11371;;NA MRZLU SA ZOKIJEM #2
12081;;NA MRZLU SA ZOKIJEM #1
11400;;NIKAD STRUČNIJA NAVIJAČKA ANALIZA UTAKMICE; 6.kolo SHNL-a; RUDEŠ - HAJ
15847;;IZVANREDNI LIVE - dočekajmo zajedno kraj prijava igrača za KL
8995;;NAVIJAČKA ANALIZA UTAKMICE 5. kola; HAJDUK - LOKOMOTIVA
9480;;NESTRUČNA ANALIZA PLAY OFF-a KL; RAKOW - HAJDUK. IDEMO MOMCI JAKO I HA
9544;;NAJAVA UTAKMICE 4. kola SHNL-a; HAJDUK - OSIJEK
8162;;NAVIJAČKI ANALIZIRAMO PRVU NAJVAŽNIJU UTAKMICU SEZONE; Play off KL: HA
11353;;NESTRUČNA ANALIZA UTAKICE 3.kola SHNL-a; GORICA - HAJDUK
5441;;NAVIJAČKI ANALIZIRAMO UTAKMICU; HAJDUK - ŽALGIRIS; 3. kolo kvalifikaci
12462;;IZVANREDNI LIVE - SLJEDEĆA 2 TJEDNA SU KLJUČNA - TRAŽILI STE, POSLUŠAJ
8965;;NAJAVA UTAKMICE HAJDUK-ISTRA 1961
11189;;NAVIJAČKA ANALIZA UTAKMICE ŽALGIRIS - HAJDUK
9084;;NAVIJAČKA ANALIZA 1. kola SHNL-a; VARAŽDIN - HAJDUK
10112;;NAVIJAČKI ANALIZIRAMO UTAKMICU: PAFOS - HAJDUK
12690;;IZVANREDNI LIVE O SVEMU I SVAČEMU. A AKO BUDE VREMENA, I O SVAKOME.
6726;;NAVIJAČKI ANALIZIRAMO UTAKMICU: HAJDUK - PAFOS; Uživo nakon utakmice
12734;;IDEMO LIVE! JER HAJDUK ŽIVI VJEČNO, A OSTALIMA KAKO BUDE!
7769;;NAVIJAČKA ANALIZA UŽIVO NAKON UTAKMICE ŽILINA - HAJDUK
9887;;MALO MI ZA LIVE TRIBA. IZVANREDNI LIVE PONEDJELJKOM.
8314;;NOVA SEZONA, NOVA NADA.  UŽIVO NAKON UTAKMICE: HAJDUK - ŽILINA
8415;;WHITE BIT(CH) - IZNENADNI LIVE dok čekamo utakmicu Hrvatska - Portugal
18462;;"NITKO NIJE IZNAD HAJDUKA ", OSIM NESPOSOBNE UPRAVE!
10775;;QUO VADIS HAJDUČE? Live nakon prve pripremne utakmice
8002;;SVJETLO NA KRAJU TUNELA. IZVANREDNI LIVE.
14654;;DRUGI RED, LIVO. A POČINJE SVJETSKO...
13003;;DEVOLUCIJSKI ISKORAK - IZVANREDNI LIVE
8201;;HAJDUK REANIMIRAMO VJEČNO! I NAJAVLJUJEMO ZADNJU UTAKMICU SEZONE 2025/
11155;;MLAD JE, ALI JE ZATO NETALENTIRAN. UŽIVO NAKON UTAKMICE; LOKOMOTIVA 1 
15123;;PADOBRANSKI DESANT NA GUBU I GLIB - IZVANREDNI LIVE
8957;;NAJAVA VJEČNOG DERBIJA; DINAMO - HAJDUK - 09.05.2026.
14029;;IZVANREDNI NASTUP PODCASTERSKE LIGE PRVAKA
10449;;TVORNICA STOPERA! Analiza utakmice Hajduk - Varaždin
14011;;IZVANREDNI LIVE; Bolujete li od sinkope?
10206;;PRČIJA MALOG MAMIĆA 0 - 0 HAJDUK; UŽIVO od 20:45 h
9653;;MILIJUNI EURA SLIJEĆU NA POLJUD?!
12978;;ANALIZA UTAKMICE 31. kola; HAJDUK - OSIJEK
12111;;NAJAVA UTAKMICE #30. kola SHNL; SLAVEN BELUPO - HAJDUK
10753;;ORJUNA SA SJEVERA - IZVANREDNI LIVE
